timestamp,product_id,handle,old_title,new_title
2026-07-03T10:10:23.420Z,gid://shopify/Product/15038145102210,"adidas-gazelle-beige-dark-blue-collegiate-burgundy","adidas Gazelle Beige Dark Blue Collegiate Burgundy | Resell","adidas Gazelle Beige Dark Blue Collegiate Burgundy"
2026-07-03T10:10:23.788Z,gid://shopify/Product/15038145692034,"adidas-handball-spezial-scarlet-night-indigo","adidas Handball Spezial Scarlet Night Indigo | Resell","adidas Handball Spezial Scarlet Night Indigo"
2026-07-03T10:10:24.086Z,gid://shopify/Product/15038146806146,"adidas-handball-spezial-aluminum-bright-blue","adidas Handball Spezial Aluminum Bright Blue | Resell","adidas Handball Spezial Aluminum Bright Blue"
2026-07-03T10:10:24.368Z,gid://shopify/Product/15038146871682,"adidas-handball-spezial-off-white-dark-brown","adidas Handball Spezial Off-White Dark Brown | Resell","adidas Handball Spezial Off-White Dark Brown"
2026-07-03T10:10:24.742Z,gid://shopify/Product/15038643863938,"adidas-sl-72-og-core-black-wonder-white-womens","adidas SL 72 OG Core Black Wonder White (Women's) | Resell","adidas SL 72 OG Core Black Wonder White (Women's)"
2026-07-03T10:10:25.057Z,gid://shopify/Product/15038644486530,"adidas-handball-spezial-grey-clear-mint-gum-gs","adidas Handball Spezial Grey Clear Mint Gum () | Resell","adidas Handball Spezial Grey Clear Mint Gum ()"
2026-07-03T10:10:25.363Z,gid://shopify/Product/15038644617602,"adidas-gazelle-comfort-closure-hello-kitty-td","adidas Gazelle Comfort Closure Hello Kitty (TD) | Resell","adidas Gazelle Comfort Closure Hello Kitty (TD)"
2026-07-03T10:10:25.702Z,gid://shopify/Product/15038645076354,"adidas-sl-72-rs-core-black-cloud-white-blue-gs","adidas SL 72 RS Core Black Cloud White Blue () | Resell","adidas SL 72 RS Core Black Cloud White Blue ()"
2026-07-03T10:10:26.014Z,gid://shopify/Product/15038645141890,"adidas-sl72-kseniaschnaider-denim-womens","adidas SL72 KseniaSchnaider Denim (Women's) | Resell","adidas SL72 KseniaSchnaider Denim (Women's)"
2026-07-03T10:10:26.413Z,gid://shopify/Product/15038645436802,"adidas-gazelle-bold-silver-green-gum-womens","adidas Gazelle Bold Silver Green Gum (Womens) | Resell","adidas Gazelle Bold Silver Green Gum (Womens)"
2026-07-03T10:10:26.748Z,gid://shopify/Product/15038645502338,"adidas-gazelle-bold-ivory-bold-gold-womens","adidas Gazelle Bold Ivory Bold Gold (Women's) | Resell","adidas Gazelle Bold Ivory Bold Gold (Women's)"
2026-07-03T10:10:27.062Z,gid://shopify/Product/15038645600642,"adidas-handball-spezial-clear-pink-wonder-blue-gum","adidas Handball Spezial Clear Pink Wonder Blue Gum | Resell","adidas Handball Spezial Clear Pink Wonder Blue Gum"
2026-07-03T10:10:27.454Z,gid://shopify/Product/15038645764482,"adidas-gazelle-indoor-semi-green-spark-womens","adidas Gazelle Indoor Semi Green Spark (Women's) | Resell","adidas Gazelle Indoor Semi Green Spark (Women's)"
2026-07-03T10:10:27.892Z,gid://shopify/Product/15038645993858,"adidas-solar-hu-pharrell-chinese-new-year-2019","adidas Solar Hu Pharrell Chinese New Year (2019) | Resell","adidas Solar Hu Pharrell Chinese New Year (2019)"
2026-07-03T10:10:28.358Z,gid://shopify/Product/15039069192578,"adidas-stan-smith-bape-30th-anniversary-white","adidas Stan Smith Bape 30th Anniversary White | Resell","adidas Stan Smith Bape 30th Anniversary White"
2026-07-03T10:10:28.901Z,gid://shopify/Product/15039069553026,"adidas-samba-og-ajax-bob-marley-3-little-birds","adidas Samba OG Ajax Bob Marley 3 Little Birds | Resell","adidas Samba OG Ajax Bob Marley 3 Little Birds"
2026-07-03T10:10:29.245Z,gid://shopify/Product/15039069618562,"adidas-samba-og-sns-shadow-green","adidas Samba OG Sneakersnstuff 25th Anniversary | Resell","adidas Samba OG Sneakersnstuff 25th Anniversary"
2026-07-03T10:10:29.574Z,gid://shopify/Product/15039069684098,"adidas-sl72-pink-fusion-green-spark-womens","adidas SL72 Pink Fusion Green Spark (Women's) | Resell","adidas SL72 Pink Fusion Green Spark (Women's)"
