timestamp,handle,product_id,old_title,new_title,old_description,new_description
2026-07-03T09:37:55.231Z,adidas-puig-samba-palace-white-black,gid://shopify/Product/15046132990338,adidas Puig Samba Palace White Black | Resell Lausanne Suisse,adidas Puig Samba Palace White Black | Resell Lausanne,,
2026-07-03T09:37:55.763Z,adidas-gazelle-indoor-light-blue-floral-womens,gid://shopify/Product/15046133023106,adidas Gazelle Indoor Light Blue Floral (Women's) | Resell Lausanne...,adidas Gazelle Indoor Light Blue Floral (Women's) | Resell,,
2026-07-03T09:37:56.204Z,adidas-sambae-semi-pink-spark-womens,gid://shopify/Product/15046133055874,adidas Sambae Semi Pink Spark (Women's) | Resell Lausanne Suisse,adidas Sambae Semi Pink Spark (Women's) | Resell Lausanne,,
2026-07-03T09:37:56.721Z,adidas-samba-og-silver-green-putty-mauve-womens,gid://shopify/Product/15046133907842,adidas Samba OG Silver Green Putty Mauve (Women's) | Resell Lausann...,adidas Samba OG Silver Green Putty Mauve (Women's) | Resell,,
2026-07-03T09:37:57.167Z,adidas-samba-og-core-black-reflective,gid://shopify/Product/15046133940610,adidas Samba OG Core Black Reflective | Resell Lausanne Suisse,adidas Samba OG Core Black Reflective | Resell Lausanne,,
2026-07-03T09:37:57.676Z,adidas-gazelle-los-angeles-fc,gid://shopify/Product/15046133973378,adidas Gazelle Los Angeles FC Maroon | Resell Lausanne Suisse,adidas Gazelle Los Angeles FC Maroon | Resell Lausanne,,
2026-07-03T09:37:58.149Z,adidas-samba-og-white-coral-pink-td,gid://shopify/Product/15046134006146,adidas Samba OG White Coral Pink (TD) | Resell Lausanne Suisse,adidas Samba OG White Coral Pink (TD) | Resell Lausanne,,
2026-07-03T09:37:58.576Z,adidas-samba-og-grey-five-core-black,gid://shopify/Product/15046134038914,adidas Samba OG Grey Five Core Black | Resell Lausanne Suisse,adidas Samba OG Grey Five Core Black | Resell Lausanne,,
2026-07-03T09:37:59.066Z,adidas-sl-72-rs-off-white-wonder-white,gid://shopify/Product/15046134137218,adidas SL 72 RS Off White Wonder White | Resell Lausanne Suisse,adidas SL 72 RS Off White Wonder White | Resell Lausanne,,
2026-07-03T09:37:59.564Z,adidas-gazelle-indoor-liberty-london-floral-embroidery-womens,gid://shopify/Product/15046134169986,adidas Gazelle Indoor Liberty London Floral Embroidery (Women's) |...,adidas Gazelle Indoor Liberty London Floral Embroidery,,
2026-07-03T09:38:00.060Z,adidas-gazelle-indoor-college-navy-gum,gid://shopify/Product/15046134202754,adidas Gazelle Indoor College Navy Gum | Resell Lausanne Suisse,adidas Gazelle Indoor College Navy Gum | Resell Lausanne,,
2026-07-03T09:38:00.620Z,adidas-ballerina-bad-bunny-off-white-black-gum,gid://shopify/Product/15046134268290,adidas Ballerina Bad Bunny Off White Black Gum | Resell Lausanne Su...,adidas Ballerina Bad Bunny Off White Black Gum | Resell,,
2026-07-03T09:38:01.079Z,adidas-sl-72-rs-warm-sandstone-magic-beige,gid://shopify/Product/15046134333826,adidas SL 72 RS Warm Sandstone Magic Beige | Resell Lausanne Suisse,adidas SL 72 RS Warm Sandstone Magic Beige | Resell Lausanne,,
2026-07-03T09:38:01.631Z,adidas-samba-og-white-energy-ink-gum-womens,gid://shopify/Product/15046134399362,adidas Samba OG White Energy Ink Gum (Women's) | Resell Lausanne Su...,adidas Samba OG White Energy Ink Gum (Women's) | Resell,,
2026-07-03T09:38:02.138Z,adidas-gazelle-solar-orange-w,gid://shopify/Product/15046134432130,adidas Gazelle Solar Orange (Women's) | Resell Lausanne Suisse,adidas Gazelle Solar Orange (Women's) | Resell Lausanne,,
2026-07-03T09:38:02.668Z,adidas-samba-classic-black-white-dark-gum-gs,gid://shopify/Product/15046134497666,adidas Samba Classic Black White Dark Gum (GS) | Resell Lausanne Su...,adidas Samba Classic Black White Dark Gum () | Resell,,
2026-07-03T09:38:03.128Z,adidas-sl-72-rs-shadow-red,gid://shopify/Product/15046134563202,adidas SL 72 RS Shadow Red | Sneakers Authentiques | Resell Lausanne,adidas SL 72 RS Shadow Red | Resell Lausanne,"adidas SL 72 RS Shadow Red authentique en Suisse. adidas 100% vérifié, livraison rapide. Achetez chez Resell Lausanne.","adidas SL 72 RS Shadow Red authentique en Suisse. Tailles EU, livraison CH/EU, paiement Twint & Alma. Authenticité garantie Resell Lausanne."
