sku	title	final_url	image_url	price_eur	description_plain_preview
SSX03G100N	Audemars Piguet Royal Pop Collection Pocket Watch Green Eight	https://wethenew.com/products/swatch-audemars-piguet-royal-pop-collection-pocket-watch-green-eight	https://cdn.shopify.com/s/files/1/2358/2817/files/Swatch_Audemars_Piguet_Royal_Pop_Collection_Pocket_Watch_Green_Eight_1.webp?v=1778663091	2500	Collaboration historique entre deux titans de l'horlogerie suisse, la Swatch Audemars Piguet Royal Pop Collection réinvente l'iconique Royal Oak signée Gérald Genta en 1972 dans une version pop, colorée et accessible.La Swatch Audemars Piguet Royal Pop Collection Pocket Watch Green Eight se distingu
SSX03R100N	Audemars Piguet Royal Pop Collection Pocket Watch Otto Rosso	https://wethenew.com/products/swatch-audemars-piguet-royal-pop-collection-pocket-watch-otto-rosso	https://cdn.shopify.com/s/files/1/2358/2817/files/Swatch_Audemars_Piguet_Royal_Pop_Collection_Pocket_Watch_Otto_Rosso_1.webp?v=1778663035	2500	Issue de la collaboration culte entre Swatch et Audemars Piguet, la Royal Pop Collection rend hommage à l'iconique Royal Oak dans une version résolument contemporaine et pop.La Swatch Audemars Piguet Royal Pop Collection Pocket Watch Otto Rosso se distingue par un rouge ainsi qu'un rose intense et f
SSX03J100N	Audemars Piguet Royal Pop Collection Watch Pocket OTG Roz	https://wethenew.com/products/swatch-audemars-piguet-royal-pop-collection-watch-pocket-otg-roz	https://cdn.shopify.com/s/files/1/2358/2817/files/Swatch_Audemars_Piguet_Royal_Pop_Collection_Watch_Pocket_OTG_Roz_1.webp?v=1778662959	2500	Fruit de la collaboration entre Swatch et la manufacture suisse Audemars Piguet, la Royal Pop Collection démocratise l'esprit Royal Oak à travers une approche colorée et accessible.La Swatch Audemars Piguet Royal Pop Collection Watch Pocket OTG Roz se distingue par un jaune solaire et éclatant qui a
SSX03L103N	Audemars Piguet Royal Pop Collection Pocket Watch Orenji Hachi	https://wethenew.com/products/swatch-audemars-piguet-royal-pop-collection-watch-pocket-orenji-hachi	https://cdn.shopify.com/s/files/1/2358/2817/files/Swatch_Audemars_Piguet_Royal_Pop_Collection_Pocket_Watch_Orenji_Hachi_1.webp?v=1778662890	2500	Issue de la collaboration culte entre Swatch et Audemars Piguet, la Royal Pop Collection rend hommage à l'iconique Royal Oak dans une version résolument contemporaine et pop.La Swatch Audemars Piguet Royal Pop Collection Pocket Watch Orenji Hachi se distingue par un bleu profond et hypnotique qui ap
SSX03L101N	Audemars Piguet Royal Pop Collection Pocket Watch Blaue Acht	https://wethenew.com/products/swatch-audemars-piguet-royal-pop-collection-pocket-watch-blaue-acht	https://cdn.shopify.com/s/files/1/2358/2817/files/Swatch_Audemars_Piguet_Royal_Pop_Collection_Pocket_Watch_Blaue_Acht_1.webp?v=1778662829	2500	Fruit de la collaboration entre Swatch et la manufacture suisse Audemars Piguet, la Royal Pop Collection démocratise l'esprit Royal Oak à travers une approche colorée et accessible.La Swatch Audemars Piguet Royal Pop Collection Pocket Watch Blaue Acht se distingue par un bleu vibrant et chaleureux q
SSX03W100N	Audemars Piguet Royal Pop Collection Pocket Watch Huit Blanc	https://wethenew.com/products/swatch-audemars-piguet-royal-pop-collection-pocket-watch-huit-blanc	https://cdn.shopify.com/s/files/1/2358/2817/files/Swatch_Audemars_Piguet_Royal_Pop_Collection_Pocket_Watch_Huit_Blanc_1.webp?v=1778662613	2500	Collaboration historique entre deux titans de l'horlogerie suisse, la Swatch Audemars Piguet Royal Pop Collection réinvente l'iconique Royal Oak signée Gérald Genta en 1972 dans une version pop, colorée et accessible.La Swatch Audemars Piguet Royal Pop Collection Pocket Watch Huit Blanc se distingue
SSX03W101N	Audemars Piguet Royal Pop Collection Pocket Watch Ocho Negro	https://wethenew.com/products/swatch-audemars-piguet-royal-pop-collection-pocket-watch-ocho-negro	https://cdn.shopify.com/s/files/1/2358/2817/files/Swatch_Audemars_Piguet_Royal_Pop_Collection_Pocket_Watch_Ocho_Negro_1.webp?v=1778662722	2500	Issue de la collaboration culte entre Swatch et Audemars Piguet, la Royal Pop Collection rend hommage à l'iconique Royal Oak dans une version résolument contemporaine et pop.La Swatch Audemars Piguet Royal Pop Collection Pocket Watch Ocho Negro se distingue par un noir profond et magnétique qui appo
SSX03L100N	Audemars Piguet Royal Pop Collection Pocket Watch Làn Ba	https://wethenew.com/products/swatch-audemars-piguet-royal-pop-collection-pocket-watch-lan-ba	https://cdn.shopify.com/s/files/1/2358/2817/files/Swatch_Audemars_Piguet_Royal_Pop_Collection_Pocket_Watch_L_n_Ba_1.webp?v=1778662548	2500	Fruit de la collaboration entre Swatch et la manufacture suisse Audemars Piguet, la Royal Pop Collection démocratise l'esprit Royal Oak à travers une approche colorée et accessible. La Swatch Audemars Piguet Royal Pop Collection Watch Lan Ba se distingue par un bleu profond et mystérieux qui apporte
